a52dec 0.7.4-8
acl 2.2.52-2
adwaita-icon-theme 3.18.0-1
alsa-lib 1.0.29-1
alsa-utils 1.0.29-2
archlinux-keyring 20150605-1
aspell 0.60.6.1-3
at-spi2-atk 2.18.0-1
at-spi2-core 2.18.0-1
atk 2.18.0-1
attr 2.4.47-1
autoconf 2.69-2
automake 1.15-1
avahi 0.6.31-17
awesome 3.5.6-2
bash 4.3.042-3
binutils 2.25.1-3
bison 3.0.4-1
bzip2 1.0.6-5
ca-certificates 20150402-1
ca-certificates-cacert 20140824-2
ca-certificates-mozilla 3.20-1
ca-certificates-utils 20150402-1
cairo 1.14.2-1
chromium 45.0.2454.101-2
cmake 3.3.2-3
colord 1.2.12-1
compositeproto 0.4.2-3
coreutils 8.24-1
cracklib 2.9.4-1
cryptsetup 1.6.7-1
curl 7.44.0-1
damageproto 1.2.1-3
db 5.3.28-2
dbus 1.10.0-3
dbus-glib 0.104-1
dconf 0.24.0-1
desktop-file-utils 0.22-1
device-mapper 2.02.125-1
dhcpcd 6.9.3-1
dialog 1:1.2_20150920-1
diffutils 3.3-2
dotconf 1.3-4
e2fsprogs 1.42.13-1
elfutils 0.163-2
enchant 1.6.0-5
expat 2.1.0-4
faad2 2.7-4
fakeroot 1.20.2-1
ffmpeg 1:2.8-2
file 5.25-1
filesystem 2015.09-1
findutils 4.4.2-6
firefox 41.0.1-1
fixesproto 5.0-3
flac 1.3.1-1
flex 2.5.39-1
fontconfig 2.11.1-2
fontsproto 2.1.3-1
freetype2 2.6.1-1
fribidi 0.19.7-1
gawk 4.1.3-1
gc 7.4.2-3
gcc 5.2.0-2
gcc-libs 5.2.0-2
gcr 3.18.0-1
gdbm 1.11-1
gdk-pixbuf2 2.32.1-1
geoclue2 2.3.0-1
gettext 0.19.6-1
giflib 5.1.1-1
git 2.6.1-1
glib-networking 2.46.0-1
glib2 2.46.0-2
glibc 2.22-3
gmp 6.0.0-2
gnupg 2.1.8-4
gnutls 3.4.5-1
gobject-introspection-runtime 1.46.0-1
gpgme 1.6.0-1
gpm 1.20.7-5
graphite 1:1.3.3-1
grep 2.21-2
groff 1.22.3-4
grub 1:2.02.beta2-5
gsettings-desktop-schemas 3.18.0-1
gsm 1.0.13-8
gst-plugins-base-libs 1.6.0-1
gstreamer 1.6.0-1
gtk-update-icon-cache 3.18.1-1
gtk2 2.24.28-1
gtk3 3.18.1-1
guile 2.0.11-3
gzip 1.6-1
harfbuzz 1.0.4-1
harfbuzz-icu 1.0.4-1
hdparm 9.48-1
hicolor-icon-theme 0.15-1
hspell 1.2-2
hunspell 1.3.3-2
hwids 20150717-1
iana-etc 2.30-5
icu 55.1-1
imlib2 1.4.7-1
inetutils 1.9.4-2
inputproto 2.3.1-1
iproute2 4.1.1-1
iptables 1.4.21-3
iputils 20140519.fad11dc-1
irssi 0.8.17-3
jasper 1.900.1-14
jfsutils 1.1.15-4
js17 17.0.0-1
json-c 0.12-2
json-glib 1.0.4-1
jsoncpp 1.6.5-1
kbd 2.0.3-1
kbproto 1.0.7-1
keyutils 1.5.9-1
kmod 21-2
krb5 1.13.2-1
lame 3.99.5-3
lcms2 2.7-1
less 481-2
libaio 0.3.110-1
libarchive 3.1.2-8
libass 0.13.0-1
libassuan 2.3.0-1
libasyncns 0.8-5
libatomic_ops 7.4.2-1
libbluray 0.9.0-1
libcap 2.24-2
libcroco 0.6.8-2
libcups 2.1.0-1
libdaemon 0.14-3
libdatrie 0.2.9-1
libdbus 1.10.0-3
libdca 0.0.5-4
libdrm 2.4.65-1
libdvbpsi 1:1.3.0-1
libdvdnav 5.0.3-1
libdvdread 5.0.4-1
libebml 1.3.1-1
libedit 20150325_3.1-2
libelf 0.163-2
libepoxy 1.3.1-1
libevdev 1.4.4-1
libevent 2.0.22-1
libexif 0.6.21-2
libffi 3.2.1-1
libfontenc 1.1.3-1
libgcrypt 1.6.4-1
libgpg-error 1.20-1
libgudev 230-1
libgusb 0.2.7-1
libice 1.0.9-1
